id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,instrumentalness,popularity,release_decade,mood_tags,explicit,vocal_style
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,0.00,82,2020s,uplifting;euphoric,False,female vocals
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,0.55,55,2020s,focused;cozy,False,instrumental
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,0.05,68,2010s,aggressive;adrenaline,False,male vocals
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,0.62,40,2020s,cozy;nostalgic,False,instrumental
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,0.00,74,2020s,pumped;euphoric,False,male vocals
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,0.88,35,2010s,dreamy;introspective,False,instrumental
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,0.30,48,1990s,cozy;nostalgic,False,female vocals
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,0.10,60,1980s,moody;nostalgic,False,instrumental
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,0.70,52,2020s,focused;calm,False,instrumental
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,0.00,65,2010s,uplifting;carefree,False,female vocals
11,Broken Halo,Rust & Rain,metal,angry,0.97,168,0.32,0.55,0.03,0.02,58,2000s,aggressive;cathartic,True,male vocals
12,Slow Burn,Velvet Junction,r&b,romantic,0.48,68,0.68,0.61,0.34,0.00,63,2010s,sultry;romantic,False,male vocals
13,Dust Road Home,Wren Calloway,country,nostalgic,0.55,96,0.62,0.50,0.45,0.00,44,1990s,nostalgic;wistful,False,male vocals
14,Golden Hour Fields,Wren Calloway,folk,nostalgic,0.33,84,0.70,0.44,0.80,0.15,38,2010s,nostalgic;peaceful,False,female vocals
15,Neon Pulse,DJ Kairo,edm,energetic,0.95,128,0.83,0.91,0.02,0.05,88,2020s,euphoric;pumped,False,instrumental
16,Rainy Window Blues,Delta Moss,blues,melancholic,0.30,64,0.28,0.38,0.55,0.05,30,1970s,melancholic;wistful,False,male vocals
17,Island Drift,Sol Marina,reggae,relaxed,0.45,80,0.75,0.70,0.40,0.00,42,2000s,breezy;carefree,False,male vocals
18,Moonlight Sonata Remix,Aria Vantablack,classical,calm,0.20,60,0.55,0.20,0.95,0.97,25,2020s,serene;introspective,False,instrumental
19,Heartbeat Overdrive,Neon Echo,pop,energetic,0.88,126,0.86,0.85,0.08,0.00,79,2020s,euphoric;pumped,False,female vocals
20,Quiet Grief,Delta Moss,jazz,sad,0.22,58,0.18,0.30,0.72,0.20,20,1990s,melancholic;introspective,False,female vocals
